#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
730.9636	0.7575	0.8615	0.9603
731.9636	0.7585	0.8623	0.9604
732.9635	0.7592	0.8627	0.9604
733.9634	0.7599	0.8626	0.9606
734.9634	0.7607	0.8628	0.961
735.9633	0.7617	0.8633	0.9617
736.9633	0.7625	0.8638	0.9619
737.9631	0.7633	0.8642	0.9616
738.9631	0.764	0.8647	0.962
739.963	0.7645	0.8656	0.9624
740.963	0.7651	0.8663	0.9628
741.9629	0.7659	0.8671	0.963
742.9628	0.7667	0.8688	0.9637
743.9628	0.7675	0.8701	0.9638
744.9627	0.7685	0.8706	0.9638
745.9626	0.7693	0.8712	0.964
746.9625	0.7702	0.8721	0.9646
747.9625	0.7711	0.8726	0.9648
748.9624	0.7724	0.8727	0.9654
749.9623	0.773	0.8725	0.9656
750.9623	0.7737	0.8728	0.9662
751.9622	0.7749	0.8729	0.9663
752.9622	0.7757	0.8733	0.9665
753.9621	0.7763	0.8736	0.9663
754.962	0.7773	0.874	0.9664
755.962	0.7778	0.8741	0.9664
756.9619	0.7779	0.8741	0.9657
757.9618	0.7776	0.8741	0.9656
758.9617	0.7785	0.8755	0.9662
759.9617	0.7794	0.8764	0.9661
760.9616	0.78	0.8767	0.9663
761.9615	0.7808	0.8769	0.9668
762.9615	0.7813	0.8777	0.9673
763.9614	0.7815	0.878	0.9672
764.9614	0.7816	0.878	0.9669
765.9612	0.7826	0.8789	0.9676
766.9612	0.7842	0.8799	0.968
767.9611	0.7852	0.8803	0.968
768.9611	0.786	0.8806	0.9682
769.961	0.7865	0.881	0.9683
770.9609	0.7872	0.8819	0.9686
771.9609	0.7885	0.8829	0.9692
772.9608	0.7896	0.8838	0.9695
773.9608	0.7907	0.8847	0.97
774.9607	0.792	0.8854	0.9703
775.9606	0.7923	0.8856	0.9701
776.9605	0.7927	0.8858	0.9702
777.9604	0.7935	0.8866	0.9703
778.9604	0.7938	0.8871	0.9701
779.9603	0.7942	0.8875	0.9699
780.9603	0.7949	0.8877	0.9698
781.9602	0.7957	0.8879	0.97
782.9601	0.7965	0.8884	0.9701
783.9601	0.7969	0.8889	0.9704
784.96	0.7977	0.8899	0.9708
785.9599	0.7983	0.8904	0.9714
786.9598	0.7989	0.8908	0.9716
787.9598	0.7999	0.8914	0.972
788.9597	0.7999	0.8909	0.972
789.9597	0.8	0.8913	0.9723
790.9596	0.8004	0.8915	0.9725
791.9595	0.801	0.8922	0.9731
792.9595	0.8011	0.8928	0.9731
793.9594	0.802	0.8929	0.9732
794.9593	0.8027	0.8933	0.9728
795.9592	0.8037	0.8935	0.9725
796.9592	0.8044	0.8942	0.9725
797.9591	0.8057	0.8954	0.9727
798.959	0.806	0.8953	0.9727
799.959	0.8063	0.896	0.9727
800.9589	0.8066	0.8959	0.9724
801.9589	0.8074	0.8961	0.9725
802.9588	0.8078	0.8962	0.9728
803.9587	0.8084	0.8965	0.9729
804.9586	0.8085	0.8969	0.9733
805.9586	0.8087	0.8971	0.9735
806.9585	0.8093	0.8974	0.9737
807.9584	0.8102	0.8979	0.9738
808.9584	0.8114	0.8985	0.9741
809.9583	0.8122	0.899	0.9742
810.9583	0.813	0.899	0.9742
811.9582	0.8132	0.8992	0.9743
812.9581	0.8132	0.8996	0.9747
813.958	0.8137	0.8999	0.975
814.9579	0.8144	0.8999	0.9752
815.9579	0.8148	0.9001	0.9756
816.9578	0.8151	0.9002	0.976
817.9578	0.8158	0.9003	0.9759
818.9577	0.816	0.9008	0.9761
819.9576	0.8167	0.9017	0.9763
820.9576	0.8173	0.9019	0.9762
821.9575	0.8182	0.9022	0.9759
822.9574	0.8189	0.9022	0.9756
823.9573	0.8191	0.9025	0.9751
824.9573	0.8198	0.9029	0.975
825.9572	0.8203	0.9037	0.9751
826.9572	0.8205	0.9045	0.9753
827.9571	0.8214	0.9045	0.9754
828.957	0.8217	0.905	0.9755
829.957	0.8222	0.9058	0.9757
830.9569	0.8224	0.906	0.9757
831.9568	0.8225	0.9065	0.976
832.9567	0.8225	0.9067	0.9764
833.9567	0.8223	0.9068	0.9765
834.9566	0.823	0.9068	0.9769
835.9565	0.8238	0.9066	0.9772
836.9565	0.824	0.907	0.977
837.9564	0.8245	0.9069	0.977
838.9564	0.8253	0.9071	0.9772
839.9563	0.8262	0.9079	0.9775
840.9562	0.8267	0.9083	0.9776
841.9561	0.8276	0.9086	0.9774
842.9561	0.8285	0.9092	0.9774
843.956	0.8291	0.9096	0.9769
844.9559	0.8295	0.91	0.9767
845.9559	0.8302	0.9107	0.9772
846.9558	0.8305	0.9113	0.9774
847.9557	0.8307	0.9116	0.9773
848.9557	0.8312	0.9116	0.9771
849.9556	0.8319	0.912	0.977
850.9555	0.8325	0.9123	0.9771
851.9554	0.8329	0.9127	0.977
852.9554	0.8328	0.9127	0.9769
853.9553	0.8326	0.9125	0.9764
854.9553	0.8325	0.9123	0.9759
855.9552	0.8329	0.9119	0.9758
856.9551	0.8329	0.9114	0.9755
857.9551	0.8335	0.9118	0.9756
858.955	0.8341	0.9118	0.9759
859.955	0.835	0.9121	0.9763
860.9548	0.8359	0.9124	0.9768
861.9548	0.8367	0.9129	0.977
862.9547	0.8375	0.9136	0.9778
863.9547	0.838	0.914	0.9782
864.9546	0.8384	0.9146	0.9784
865.9545	0.8393	0.9151	0.9788
866.9545	0.8391	0.9153	0.9785
867.9544	0.8394	0.9159	0.9784
868.9543	0.8394	0.9159	0.9787
869.9542	0.8392	0.9161	0.9785
870.9542	0.8397	0.9161	0.9785
871.9541	0.8406	0.9165	0.9784
872.954	0.8416	0.9171	0.9784
873.954	0.8421	0.9169	0.9782
874.9539	0.8424	0.9174	0.9782
