# Database of dielectric index for different materials for plasmonic applications						Make tables for these combinations							
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14
# Material	Bandgap(eV)/EF	wavelength	Real(eps)	Imag(eps)	MainProperty	SPPdecayDeptAir	SPPdecayLength	Lifetime	AtomicMass(uma)	MeltingTemperature	BoilingTemperature	CriticalPoint[VE_Fortov_ThePhysicsOfNon-idealPlasma]	HeatConductivity300K(W/m/K)
SiO2 (Palik)	7.8	800	2.1124739397	0	?	?	?	?	60.0843	?	?	?	?
SiO2 (Palik)	7.8	532	2.1337923141	0	?	?	?	?	60.0843	?	?	?	?
SiO2 (Palik)	?	515	2.1361639897	0	?	?	?	?	?	?	?	?	?
SiO2 (Palik)	7.8	400	2.1614446988	0	?	?	?	?	60.0843	?	?	?	?
# SiO2 (Malitson 1965)	7.8	800	2.11208089	0	?	?	?	?	60.0843	?	?	?	?
# SiO2 (Malitson 1965)	7.8	400	2.16119401	0	?	?	?	?	60.0843	?	?	?	?
Steel (Iaroslav)	?	1030	-7.977157246	28.7578133	?	?	?	?	60.0843	?	?	?	?
Steel (Iaroslav)	?	800	-7.977157246	28.7578133	?	?	?	?	60.0843	?	?	?	?
Ta (Palik)	?	1030	-25.244855424	10.0419162702	?	?	?	?	180.9479	?	?	?	?
Ta (Palik)	-1000	800	-11.1662116987	7.9007531743	?	?	?	?	180.9479	?	?	?	?
Ta (Palik)	?	515	3.5071008109	10.3364800611	?	?	?	?	?	?	?	?	?
Ta (Palik)	-1000	400	2.4868800163	12.6038227233	?	?	?	?	180.9479	?	?	?	?
#Ta (Ordal 1988)	-1000	800	-10.873	7.7319	?	?	?	?	180.9479	?	?	?	?
#Ta (?)	-1000	400	-3.3356	6.7487	?	?	?	?	180.9479	?	?	?	?
#Ti (Palik) 	-8.84	1064	0.3359	22.564512	?	?	?	?	?	1938	3560	11790	22
Ti (Palik) 	-8.84	1060	0.3355	22.5108	?	?	?	?	?	1938	3560	11790	22
#Ti (Palik)	-8.84	1030	0.3325	22.11	?	?	?	?	?	1938	3560	11790	22
#Ti (Palik)	-8.84	800	-2.852	19.1142	Anisotropic	?	?	?	47.867	1938	3560	11790	22
#Ti (Palik)	-8.84	532	-3.0071305785	9.3361293388	Anisotropic	?	?	?	47.867	1938	3560	11790	22
#Ti (Palik)	?	515	-2.7975546485	8.8997482993	?	?	?	?	?	1938	3560	11790	22
#Ti (Palik)	-8.84	400	-2.22	6.665	Anisotropic	?	?	?	47.867	1938	3560	11790	22
Ti (Johnson 1974)	-8.84	1030	-4.2656	27.277	?	?	?	?	?	1938	3560	11790	22
Ti (Johnson 1974)	-8.84	800	-6.206969	25.2	?	?	?	?	?	1938	3560	11790	22
Ti (Johnson 1974)	-8.84	400	-4.362393	12.3619	?	?	?	?	?	1938	3560	11790	22
# Ti (Ordal 1988)	-8.84	1030	0.9959	22.44	?	?	?	?	?	1938	3560	11790	22
# Ti (Mash 1973)	-8.84	1030	-1.5018	24.477	?	?	?	?	?	1938	3560	11790	22
# Ti (Sopra)	-8.84	1030	-2.818	18.9767	?	?	?	?	?	1938	3560	11790	22
# TiO2 (Devore 1951, o)	10	1064	6.14494521	0	Anisotropic	?	?	?	?	?	?	?	?
# TiO2 (Devore 1951, o)	10	1060	6.14692849	0	Anisotropic	?	?	?	?	?	?	?	?
TiO2 (Palik, o)	10	1030	7.5345837741	0	Anisotropic	?	?	?	?	?	?	?	?
TiO2 (Palik, o)	10	800	7.7841	0	Anisotropic	?	?	?	?	?	?	?	?
TiO2 (Palik, o)	10	400	11.5541541644	0.0008037	Anisotropic	?	?	?	?	?	?	?	?
# TiO2 (Devore 1951, o)	10	800	6.348888	0	Anisotropic	?	?	?	?	?	?	?	?
TiO2 (Devore 1951, o)	10	532	7.11715684	0	Anisotropic	?	?	?	?	?	?	?	?
# TiO2 (Palik ?)	10	400	8.24666089	0	Anisotropic	?	?	?	?	?	?	?	?
