# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.133	6.9001205034887	17.409344357046	0.467443	0.0297838	33.5752993237935
0.134	6.9228459857441	17.351007452611	0.46671	0.0296974	33.6729814731256
0.135	6.9451967008848	17.292810609011	0.465979	0.0296113	33.7708915177652
0.136	6.9671760404448	17.234755598986	0.465249	0.0295256	33.868913756198
0.137	6.9887873838039	17.176844148113	0.46452	0.0294402	33.9671605491811
0.138	7.0100340977619	17.119077935453	0.463793	0.0293551	34.0656308443848
0.139	7.0309195361282	17.061458594195	0.463067	0.0292703	34.1643235634756
0.14	7.0514470393255	17.003987712295	0.462342	0.0291859	34.2631202053046
0.141	7.0716199340068	16.946666833116	0.461619	0.0291018	34.3621356754565
0.142	7.0914415326876	16.889497456065	0.460897	0.029018	34.461368805569
0.143	7.11091513339	16.832481037218	0.460176	0.0289346	34.5606989555757
0.144	7.1300440193012	16.77561898996	0.459457	0.0288515	34.6602429683032
0.145	7.1488314584446	16.718912685601	0.458739	0.0287687	34.75999958288
0.146	7.1672807033634	16.662363454003	0.458022	0.0286863	34.8598459892004
0.147	7.1853949908174	16.605972584198	0.457307	0.0286042	34.9599009935604
0.148	7.2031775414911	16.549741325003	0.456593	0.0285224	35.06016324012
0.149	7.2206315597149	16.493670885629	0.45588	0.028441	35.1605077177314
0.15	7.2377602331971	16.437762436287	0.455169	0.0283598	35.2611795569785
0.151	7.254566732768	16.382017108794	0.454459	0.028279	35.3619293468652
0.152	7.2710542121354	16.326435997169	0.453751	0.0281986	35.4627534700304
0.153	7.2872258076504	16.271020158224	0.453043	0.0281184	35.563901217708
0.154	7.3030846380851	16.215770612158	0.452337	0.0280386	35.6651188005107
0.155	7.3186338044201	16.160688343138	0.451633	0.0279591	35.7665303961859
0.156	7.3338763896425	16.10577429988	0.450929	0.0278799	35.8681343907259
0.157	7.3488154585544	16.051029396222	0.450227	0.0278011	35.9697997561248
0.158	7.3634540575908	15.996454511697	0.449527	0.0277226	36.0716527309848
0.159	7.3777952146476	15.942050492094	0.448827	0.0276443	36.1738224516446
0.16	7.3918419389191	15.887818150023	0.448129	0.0275665	36.275914606497
0.161	7.4055972207441	15.833758265466	0.447433	0.0274889	36.3783199764269
0.162	7.4190640314621	15.779871586326	0.446737	0.0274117	36.4807728086912
0.163	7.4322453232773	15.726158828975	0.446043	0.0273347	36.5835366768247
0.164	7.4451440291319	15.672620678789	0.44535	0.0272581	36.6863427751751
0.165	7.4577630625873	15.619257790687	0.444659	0.0271818	36.7893222671052
0.166	7.4701053177142	15.566070789652	0.443969	0.0271059	36.8923370926625
0.167	7.48217366899	15.513060271262	0.44328	0.0270302	36.9956567099023
0.168	7.4939709712041	15.460226802201	0.442592	0.0269549	37.0990061176261
0.169	7.5055000593717	15.407570920775	0.441906	0.0268798	37.2026577578702
0.17	7.5167637486534	15.355093137417	0.441221	0.0268051	37.3063334962377
0.171	7.5277648342838	15.30279393519	0.440538	0.0267307	37.4101688320919
0.172	7.5385060915057	15.250673770276	0.439855	0.0266566	37.5141615960025
0.173	7.548990275512	15.198733072477	0.439174	0.0265829	37.6181680704513
0.174	7.559220121394	15.146972245688	0.438494	0.0265094	37.722468256543
0.175	7.5691983440962	15.095391668383	0.437816	0.0264362	37.826919148743
0.176	7.5789276383774	15.043991694085	0.437139	0.0263634	37.9313745571512
0.177	7.5884106787783	14.992772651836	0.436463	0.0262908	38.0361190986961
0.178	7.5976501195943	14.941734846654	0.435788	0.0262186	38.1408618309139
0.179	7.6066485948549	14.890878559996	0.435115	0.0261466	38.245890479068
0.18	7.6154087183082	14.840204050204	0.434443	0.026075	38.3509108341323
0.181	7.6239330834117	14.789711552951	0.433772	0.0260037	38.4560658675496
0.182	7.6322242633271	14.739401281681	0.433103	0.0259326	38.5615017391237
0.183	7.6402848109216	14.689273428044	0.432435	0.0258619	38.6669192905394
0.184	7.6481172587732	14.639328162322	0.431768	0.0257915	38.7724637962119
0.185	7.6557241191818	14.589565633855	0.431102	0.0257214	38.8781326055347
0.186	7.6631078841843	14.539985971456	0.430438	0.0256515	38.9840750053603
0.187	7.6702710255745	14.490589283821	0.429775	0.025582	39.0899851458056
0.188	7.6772159949277	14.441375659942	0.429113	0.0255127	39.1961650472118
0.189	7.6839452236289	14.3923451695	0.428452	0.0254438	39.3023054732391
0.19	7.6904611229062	14.343497863267	0.427793	0.0253752	39.4085563857625
0.191	7.6967660838675	14.29483377349	0.427135	0.0253068	39.5150710480977
0.192	7.7028624775409	14.246352914283	0.426478	0.0252387	39.6216920839821
